7630,-8
27585,-9
1151,15
59782,-13
10797,6
29336,4
22539,8
26135,-26
9879,-10
57447,-29
23682,-19
64916,-52
8733,49
39087,-9
53812,21
63572,19
10753,31
37117,-38
55801,-9
2333,-44
8218,-13
52987,-9
55601,-52
64509,1
43979,-26
57812,-3
17003,-15
47644,-26
40915,1
41089,-2
54337,-32
37468,4
47671,3
3598,-8
11045,16
30698,-6
19877,-9
35976,13
20186,-10
27182,16
5268,1
15696,23
62896,-24
25419,9
65163,-11
22984,16
41610,39
45253,3
32612,-10
29224,10
24193,-45
45930,-32
2156,19
26390,33
40593,-22
21326,1
14889,-17
31574,-29
63004,-1
44117,-28
61573,12
18343,-10
59754,-21
23452,-11
22918,3
24539,6
49527,13
35363,-23
50448,33
49615,-4
41965,7
47300,9
55118,-19
48062,-1
30028,2
35337,-23
15012,-13
33476,7
35047,13
40611,-19
46679,2
33511,-11
63993,15
51508,-21
6542,-16
26169,-5
31348,-1
64901,-15
58359,42
13876,-3
51529,19
62144,-15
17872,-9
48677,25
30640,-6
27159,14
3663,-14
64312,64
52923,3
20618,-6
26691,-52
31987,-3
51331,-9
48556,12
36917,-5
8352,-25
53033,12
963,-34
3933,-14
52325,38
63129,31
25546,-23
43122,33
42214,19
47120,9
14779,-9
51073,-17
25247,-18
16486,-18
37905,3
60027,-8
44794,11
17234,-16
65517,-25
32436,7
21607,-1
44389,24
42006,31
11866,1
30069,35
8982,-23
57937,-29
49808,-23
50415,-15
10431,45
39868,-1
10170,32
6458,-6
46028,-27
35740,12
44250,6
15083,-36
48348,-13
7556,-30
61289,13
59191,19
39881,-14
65026,-25
20178,4
54507,-2
11545,27
62241,23
56735,-10
9681,-17
29970,-3
9217,-5
40900,4
14819,10
45179,-34
13607,-7
59123,-16
18660,-12
40400,16
47741,-9
15436,-12
53752,-3
62693,45
20898,7
22502,-20
32284,-12
31895,44
65298,8
47993,16
57058,12
21849,16
13935,-19
8418,-20
26704,26
21833,25
36573,-7
33084,1
63096,-31
62204,-28
39576,-9
46164,-1
38600,-17
26529,-22
47408,2
29291,-16
52913,17
47899,7
57194,-3
20610,-17
57716,10
12706,-3
14926,-58
46489,17
42365,11
11416,-2
9596,-2
35070,17
5428,-21
8819,-4
26318,17
46697,-17
20756,-12
26375,-22
33696,24
53711,13
61427,29
21666,6
14801,-1
54937,-2
51372,-35
1486,1
23708,1
25601,-22
29236,28
52574,19
3456,-42
18251,12
24226,1
10939,-1
51763,7
41558,-22
12976,-34
54476,8
56069,-12
48093,4
2537,7
1450,13
55031,-34
32995,-19
1545,-13
16385,6
38396,-24
45161,-13
44832,-28
26180,-17
35560,-19
60817,1
32832,10
7532,-22
57602,-11
13668,7
62082,33
50692,-15
26228,-18
11856,-5
35081,5
13091,53
36130,25
5587,-22
16488,29
3493,-14
35517,12
22500,38
30844,29
5479,-35
18226,-13
51951,32
20218,-22
39564,25
51325,-23
53179,14
56861,3
41606,-2
45716,7
57524,6
27392,-2
58355,-36
37693,-12
4355,4
64987,1
40032,-11
42633,38
64047,1
64584,17
22108,-38
24098,5
15014,2
43556,28
4387,37
20491,-1
42126,-4
22174,-34
64542,-4
10323,-14
60023,-16
40924,13
61746,2
16165,-39
62479,-11
9417,-23
63428,-25
1308,-5
8844,-30
29688,1
46157,-13
55730,20
54425,-19
16549,14
38045,20
2466,9
33558,14
982,-21
47656,-11
55203,7
40464,20
50028,13
2082,40
15680,35
14838,22
37355,7
8349,-3
3207,-27
12510,12
51474,-1
17642,-14
57188,-15
5262,9
39982,-14
29454,-3
36225,23
41315,-11
28050,-43
15108,-26
8418,20
27024,-22
29332,-28
62080,-30
44104,-18
9688,24
41801,45
62418,-12
1413,-1
40349,-5
42661,-6
38571,44
62828,-23
9049,-16
25900,33
12359,-13
23997,-3
43336,-14
22285,20
59578,-26
58736,-2
1142,1
1383,33
6330,5
2838,-15
23524,13
48348,13
17693,-5
54765,-29
4864,4
2339,35
12816,22
40443,-5
30533,-2
52730,9
52517,-5
44962,-27
7869,29
43646,-22
6554,3
63596,26
1787,-17
14154,5
44397,2
10352,17
41475,-12
5902,-13
17371,6
48435,-12
51197,1
4274,17
23875,-8
62149,8
20133,13
48487,29
59747,14
16549,-14
52117,-47
28129,15
41632,17
54709,-10
63632,23
53241,-1
10362,-36
30104,5
44171,-3
62825,1
3012,-38
3243,-23
6955,12
44298,-21
62903,-23
10634,-2
29085,-19
10586,-11
28112,-13
49468,24
1915,10
19939,-24
56140,19
40962,-1
63585,32
23444,-30
9152,2
36662,-8
27114,-42
30337,-7
10726,-12
62476,-41
34126,-10
44295,27
51065,9
31739,-22
21720,-8
2590,9
28825,-4
35489,12
5272,-23
11184,8
63714,2
5519,-11
24782,24
52948,-5
45515,-9
45282,9
5451,25
57657,-19
19827,-10
51162,-3
26994,-8
6198,11
27219,12
58846,28
15397,39
43499,-3
37590,36
22788,-40
28836,11
52668,27
26978,-15
61841,-14
10150,-13
17276,27
32025,-4
12521,25
34387,1
47380,20
30084,-1
59696,-8
3401,-3
15676,29
15272,-8
16759,-3
40181,18
31390,-22
14754,32
35808,-8
2135,-5
21371,9
46943,-4
14502,-30
48439,3
62701,-6
19477,39
13580,13
42891,10
49641,33
65361,-4
24857,-24
48375,-10
39872,1
46595,-27
14887,-31
30228,3
55430,-25
4736,1
18745,-11
40767,8
65367,4
6183,-12
56688,-3
19478,-18
28138,12
6119,13
51639,12
39799,-25
48422,27
12559,-10
55541,8
47157,8
27166,-18
23554,-8
10399,-1
24087,7
64976,-7
2779,13
4494,17
2387,7
48870,14
47701,12
49793,-18
37948,-18
61080,-16
229,16
5003,-12
27263,28
33208,-5
36492,43
741,-10
32357,-27
10650,-20
13980,37
35659,4
37175,-2
49113,-21
21909,14
10509,4
9745,1
2898,-23
941,46
29247,14
44126,-9
21311,-9
55608,-26
47997,-13
36136,22
28607,17
23422,-22
18122,3
38119,21
25065,-36
7803,-40
40729,-3
12128,8
55942,-42
31658,-24
58275,32
59124,5
26869,-20
17143,-13
61531,-9
25591,11
44423,-13
18427,4
25012,24
28577,44
825,-6
60717,-15
55140,9
2583,24
5552,22
31736,2
53863,-1
61818,-5
20576,9
11598,6
50373,-16
37136,-15
51937,31
2212,17
33263,-20
62894,28
46919,17
10515,13
48923,12
33187,-18
18961,6
33043,-34
62627,36
5801,11
44715,18
58870,-19
38090,-5
4207,29
